ID,SENTENCE,FINE_PRED,FINE_LABELS,FINE_CANDIDATES
semcor_d054.s028,"Yes , he believed that the Jews were `` enemies of the <<<Reich>>> '' , and such a belief is , of course , typical of `` patriotic '' anti-Semites ; but he believed in the Jew as enemy in a kind of abstract , theological way , like a member of a cult speculating on the nature of things .",reich.n.01,['reich.n.01'],"['reich.n.01', 'reich.n.02', 'reich.n.03']"
semcor_d117.s087,"He found tepid water in a <<<pitcher>>> and a last bit of soap , and he lathered his face and stood stropping the razor on his broad leather belt , its buckle held firm by a knob of the bedpost .",pitcher.n.02,['pitcher.n.02'],"['pitcher.n.01', 'pitcher.n.02', 'pitcher.n.03', 'pitcher.n.04', 'pitcher.n.05']"
semcor_d141.s095,"Still , he had liked the way she had looked , in a fresh , neat cotton dress - citron yellow , if he remembered . She had had a dignity about her , even barefoot and almost too <<<tan>>> .",tan.n.01,['tan.n.01'],"['tan.n.01', 'tan.n.02', 'tangent.n.02']"
semcor_d064.s020,"What I have observed time and time again is a process of integration , integration that begins as abstract design and gradually takes on recognizable form ; color patterns that are made to <<<weave>>> throughout the whole composition ; and that over all , amazing control of large washes which is the Mason stylemark .",weave.v.01,['weave.v.01'],"['weave.v.01', 'weave.v.02', 'waver.v.06', 'weave.v.04']"
semcor_d175.s104,"Suddenly he was interrupted in his daydreaming by a warm wetness <<<lapping>>> against his chin , and his eyes opened wide and long at the sight of a goat 's claret tongue , feasting against the salt taste of him .",lick.v.02,['lick.v.02'],"['lap.v.01', 'lick.v.02', 'lap.v.03', 'lap.v.04', 'lave.v.01']"
semcor_d298.s090,Total distance is about 21 64 '' . <<<Tend>>> to make this dimension slightly undersize so you can file the screw head to get exactly 1 4 '' tappet movement .,tend.v.01,['tend.v.01'],"['tend.v.01', 'tend.v.02', 'tend.v.03']"
lap.n.05_example.0,He drove an extra <<<lap>>> just for insurance .,lap.n.05,['lap.n.05'],"['lap.n.01', 'lap.n.02', 'lap.n.03', 'lap.n.04', 'lap.n.05', 'lick.n.02']"
semcor_d154.s060,Fujimoto had a pile of cuttings near one side of the lawn . Rector asked him to move it for the time being ; he wanted the mission <<<compound>>> to be effortlessly spotless .,compound.n.03,['compound.n.03'],"['compound.n.01', 'compound.n.02', 'compound.n.03']"
semcor_d083.s028,"Telegraphers at the Depot at this time were Aaron C. Burr and Mark Manley of `` Burr and Manley '' , dealers in lumber and dry goods . Early equipment was very flimsy ; the smallest gusts of wind toppled <<<poles>>> , making communications impossible .",pole.n.01,['pole.n.01'],"['pole.n.01', 'pole.n.02', 'pole.n.03', 'perch.n.02', 'perch.n.03', 'pole.n.06', 'pole.n.07', 'terminal.n.02', 'pole.n.09', 'pole.n.10']"
coach.v.01_example.1,She is <<<coaching>>> the crew .,coach.v.01,['coach.v.01'],"['coach.v.01', 'coach.v.02']"
semcor_d161.s060,"Cardboard noisemakers , substitutes for the unavailable tin models , were being <<<hawked>>> and bought at makeshift stands every few yards along Broadway , and one 's ears were continually serenaded by the horns ' rasps and bleats .",peddle.v.01,['peddle.v.01'],"['peddle.v.01', 'hawk.v.02', 'clear_the_throat.v.01']"
march.v.01_example.0,They <<<processed>>> into the dining room .,march.v.01,['march.v.01'],"['process.v.01', 'process.v.02', 'process.v.03', 'action.v.01', 'march.v.01', 'work.v.05', 'serve.v.11']"
semcor_d008.s176,It 's a secret . That was the new advertising angle - something about a Lloyd's of London <<<policy>>> to insure the secrecy of the secret ingredient .,policy.n.03,['policy.n.03'],"['policy.n.01', 'policy.n.02', 'policy.n.03']"
liner.n.01_example.0,The batter hit a <<<liner>>> to the shortstop .,liner.n.01,['liner.n.01'],"['liner.n.01', 'lining.n.01', 'liner.n.03', 'liner.n.04']"
semcor_d323.s159,"`` I have n't had any luck since I was a baby '' . `` <<<Stake>>> me '' , she said , `` and let me at those dice .",bet_on.v.01,['bet_on.v.01'],"['venture.v.03', 'bet_on.v.01', 'stake.v.03', 'stake.v.04', 'impale.v.02']"
semcor_d290.s067,"In a raucous take-off on radio commercials , Singer Ray Stevens <<<hawks>>> a cure-all for neuritis , neuralgia , head-cold distress , beriberi , overweight , fungus , mungus and water on the knee .",peddle.v.01,['peddle.v.01'],"['peddle.v.01', 'hawk.v.02', 'clear_the_throat.v.01']"
semcor_d032.s142,"Now he broke them open , hoping a good meal might lessen this depression crushing Hettie . His long nose wiggled at the smells of frizzling bacon and heating <<<java>>> , but the fire was low , and he wanted to waste no time .",coffee.n.01,['coffee.n.01'],"['java.n.01', 'coffee.n.01', 'java.n.03']"
semcor_d178.s000,"Too often a beginning bodybuilder has to do his training secretly either because his parents do n't want sonny-boy to `` lift all those old barbell things '' because `` you 'll <<<stunt>>> your growth '' or because childish taunts from his schoolmates , like `` Hey , lookit Mr. America , whaddya gonna do with all those muscles ( of which he has none at the time ) '' ?",stunt.v.01,['stunt.v.01'],"['stunt.v.01', 'stunt.v.02']"
semcor_d015.s053,"Over a temperature range from 25 to 200 * * f and at pressures up to 250 <<<atm>>> , an overload of 300 psi , applied for a period of one day , results in an uncertainty in the pressure of , at most , one millimeter of mercury .",standard_atmosphere.n.01,['standard_atmosphere.n.01'],"['standard_atmosphere.n.01', 'asynchronous_transfer_mode.n.01', 'cash_machine.n.01']"
